ORIGIN,DEST,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,YEAR,MONTH,CLASS
ART,YYZ,13Q,Chartright Air Inc.,1.00,8.00,3.00,0.00,446.00,2026,1,L
YYZ,ART,13Q,Chartright Air Inc.,1.00,8.00,3.00,0.00,446.00,2026,1,L
ART,YKF,13Q,Chartright Air Inc.,1.00,10.00,4.00,0.00,482.00,2026,1,L
YKF,ART,13Q,Chartright Air Inc.,1.00,10.00,4.00,0.00,482.00,2026,1,L
ART,MAD,GEQ,"Gestair, S.A.",1.00,12.00,5.00,0.00,3410.00,2026,2,L
MAD,ART,GEQ,"Gestair, S.A.",1.00,12.00,5.00,0.00,3410.00,2026,2,L
NCE,ART,AOQ,Avcon Jet AG,1.00,15.00,2.00,0.00,3807.00,2026,1,L
ART,BDS,AOQ,Avcon Jet AG,1.00,15.00,2.00,0.00,4385.00,2026,1,L
ART,LIN,26Q,Albinati aviation Limited,1.00,13.00,10.00,0.00,3839.00,2026,2,L
FAB,ART,VJT,VistaJet Limited,1.00,14.00,1.00,0.00,3256.00,2026,2,L
NAS,ART,VJT,VistaJet Limited,1.00,14.00,3.00,0.00,1250.00,2026,1,L
ART,MUC,VJT,VistaJet Limited,1.00,14.00,3.00,0.00,3852.00,2026,2,L
ANU,ART,VJT,VistaJet Limited,1.00,14.00,5.00,0.00,1821.00,2026,2,L
FDH,ART,VJT,VistaJet Limited,1.00,14.00,5.00,0.00,3779.00,2026,1,L
ART,YUL,TJ,Tradewind Aviation,1.00,8.00,4.00,0.00,254.00,2026,2,L
LBG,ART,15Q,Air Alsie A/S,1.00,16.00,5.00,0.00,3445.00,2026,1,L
SXM,ART,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,1.00,13.00,6.00,0.00,1739.00,2026,2,L
LIN,ART,24Q,Jet Story,1.00,14.00,10.00,0.00,3839.00,2026,2,L
ART,CMN,SWQ,Swiss Private Jet S.A.,1.00,13.00,3.00,0.00,3442.00,2026,1,L
CMN,ART,SWQ,Swiss Private Jet S.A.,1.00,13.00,4.00,0.00,3442.00,2026,1,L
ART,PLS,2AQ,ABS JETS A.S,1.00,14.00,2.00,440.00,1421.00,2026,2,L
BTS,ART,2AQ,ABS JETS A.S,1.00,14.00,3.00,660.00,4077.00,2026,2,L
ART,VRN,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,1.00,12.00,2.00,0.00,3910.00,2026,2,L
VRN,ART,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,1.00,14.00,2.00,0.00,3910.00,2026,2,L
ART,YYZ,QK,Jazz Aviation LP,1.00,78.00,61.00,0.00,446.00,2026,1,F
YYZ,ART,QK,Jazz Aviation LP,1.00,78.00,73.00,0.00,446.00,2026,1,F
ART,YUL,QK,Jazz Aviation LP,1.00,76.00,26.00,0.00,254.00,2026,1,F
YUL,ART,QK,Jazz Aviation LP,1.00,76.00,53.00,0.00,254.00,2026,1,F
YUL,ART,QK,Jazz Aviation LP,1.00,76.00,70.00,0.00,254.00,2026,2,F
ART,YUL,QK,Jazz Aviation LP,1.00,76.00,71.00,0.00,254.00,2026,2,F
ART,KEF,FI,Icelandair,1.00,160.00,42.00,0.00,2413.00,2026,1,F
ART,YYZ,1EQ,"KaiserAir, Inc.",1.00,68.00,55.00,0.00,446.00,2026,1,L
ART,MEX,AM,Aeromexico,1.00,160.00,143.00,0.00,2276.00,2026,1,F
MEX,ART,AM,Aeromexico,1.00,160.00,157.00,0.00,2276.00,2026,1,F
YUL,ART,AC,Air Canada,1.00,70.00,63.00,0.00,254.00,2026,1,L
ART,YUL,AC,Air Canada,1.00,70.00,62.00,0.00,254.00,2026,1,L
MEX,ART,AM,Aeromexico,1.00,181.00,156.00,0.00,2276.00,2026,1,F
NAS,ART,DL,Delta Air Lines Inc.,1.00,130.00,102.00,0.00,1250.00,2026,2,F
ART,NAS,DL,Delta Air Lines Inc.,1.00,130.00,107.00,0.00,1250.00,2026,2,F
ART,KEF,FI,Icelandair,1.00,183.00,113.00,317.00,2413.00,2026,1,F
YYZ,ART,AC,Air Canada,1.00,169.00,105.00,0.00,446.00,2026,1,F
KEF,ART,FI,Icelandair,1.00,183.00,183.00,2429.00,2413.00,2026,1,F
ART,MBJ,DL,Delta Air Lines Inc.,1.00,160.00,159.00,0.00,1693.00,2026,2,F
MBJ,ART,DL,Delta Air Lines Inc.,1.00,160.00,160.00,0.00,1693.00,2026,2,F
ART,KIN,B6,JetBlue Airways,1.00,162.00,109.00,0.00,1717.00,2026,1,F
ART,MEX,AM,Aeromexico,1.00,181.00,165.00,0.00,2276.00,2026,1,F
ART,YYZ,AC,Air Canada,1.00,169.00,58.00,0.00,446.00,2026,1,F
ART,PUJ,DL,Delta Air Lines Inc.,1.00,189.00,131.00,0.00,1646.00,2026,1,F
AUA,ART,DL,Delta Air Lines Inc.,1.00,189.00,139.00,0.00,2057.00,2026,2,F
AMS,ART,UA,United Air Lines Inc.,1.00,203.00,189.00,9509.00,3457.00,2026,1,F
DEL,ART,UA,United Air Lines Inc.,1.00,257.00,224.00,0.00,7146.00,2026,2,F
CUN,ART,BA,British Airways Plc,1.00,332.00,276.00,0.00,1734.00,2026,1,F
ART,LGW,BA,British Airways Plc,1.00,332.00,276.00,0.00,3283.00,2026,1,F
LHR,ART,BA,British Airways Plc,1.00,204.00,186.00,15919.00,3265.00,2026,1,F
ART,TLV,LY,El Al Israel Airlines Ltd.,1.00,259.00,126.00,0.00,5492.00,2026,1,F
TLV,ART,LY,El Al Israel Airlines Ltd.,1.00,267.00,259.00,17129.00,5492.00,2026,1,F
ART,FCO,DL,Delta Air Lines Inc.,1.00,281.00,261.00,11089.00,4093.00,2026,2,F
ART,AMS,DL,Delta Air Lines Inc.,1.00,281.00,253.00,1489.00,3457.00,2026,2,F
AMS,ART,DL,Delta Air Lines Inc.,1.00,282.00,212.00,40421.00,3457.00,2026,1,F
ART,AMS,DL,Delta Air Lines Inc.,1.00,282.00,267.00,6606.00,3457.00,2026,1,F
AMS,ART,DL,Delta Air Lines Inc.,1.00,282.00,275.00,0.00,3457.00,2026,2,F
ART,AMS,KL,Klm Royal Dutch Airlines,1.00,275.00,126.00,7830.00,3457.00,2026,2,F
AMS,ART,KL,Klm Royal Dutch Airlines,1.00,275.00,170.00,3278.00,3457.00,2026,1,F
ART,AMS,KL,Klm Royal Dutch Airlines,1.00,275.00,255.00,1142.00,3457.00,2026,1,F
AMS,ART,KL,Klm Royal Dutch Airlines,1.00,275.00,261.00,46552.00,3457.00,2026,2,F
ART,LHR,BA,British Airways Plc,1.00,332.00,258.00,0.00,3265.00,2026,2,F
ART,HND,CX,Cathay Pacific Airways Ltd.,1.00,334.00,314.00,36621.00,6728.00,2026,1,F
ART,GRU,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,1.00,300.00,277.00,0.00,4790.00,2026,1,F
ART,CDG,AF,Compagnie Natl Air France,1.00,282.00,277.00,18249.00,3449.00,2026,2,F
CDG,ART,AF,Compagnie Natl Air France,1.00,292.00,141.00,41070.00,3449.00,2026,2,F
ART,AMS,KL,Klm Royal Dutch Airlines,1.00,318.00,57.00,0.00,3457.00,2026,2,F
AMS,ART,KL,Klm Royal Dutch Airlines,1.00,318.00,132.00,0.00,3457.00,2026,2,F
CDG,ART,AF,Compagnie Natl Air France,1.00,296.00,284.00,0.00,3449.00,2026,1,F
ART,GIG,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,1.00,300.00,277.00,757.00,4821.00,2026,2,F
ART,IST,TK,Turk Hava Yollari A.O.,1.00,349.00,314.00,21723.00,4812.00,2026,1,F
IST,ART,TK,Turk Hava Yollari A.O.,1.00,349.00,334.00,31086.00,4812.00,2026,1,F
ART,GRU,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,1.00,298.00,263.00,0.00,4790.00,2026,2,F
AMS,ART,KL,Klm Royal Dutch Airlines,1.00,381.00,154.00,35105.00,3457.00,2026,2,F
ART,AMS,KL,Klm Royal Dutch Airlines,1.00,381.00,267.00,10505.00,3457.00,2026,2,F
ART,AMS,KL,Klm Royal Dutch Airlines,1.00,381.00,280.00,6131.00,3457.00,2026,1,F
ART,YYZ,07Q,Flair Airlines Ltd.,1.00,189.00,143.00,0.00,446.00,2026,2,L
ART,DOH,QR,Qatar Airways (Q.C.S.C),1.00,327.00,161.00,16689.00,6517.00,2026,2,F
DOH,ART,QR,Qatar Airways (Q.C.S.C),1.00,327.00,309.00,7388.00,6517.00,2026,1,F
DOH,ART,QR,Qatar Airways (Q.C.S.C),1.00,327.00,316.00,24554.00,6517.00,2026,2,F
ART,DOH,QR,Qatar Airways (Q.C.S.C),1.00,327.00,321.00,13814.00,6517.00,2026,1,F
YYZ,ART,QK,Jazz Aviation LP,2.00,152.00,103.00,0.00,446.00,2026,2,F
ART,YYZ,QK,Jazz Aviation LP,2.00,152.00,131.00,0.00,446.00,2026,2,F
ART,SAL,TA,Taca International Airlines,2.00,318.00,187.00,0.00,2266.00,2026,2,F
ART,SAL,TA,Taca International Airlines,2.00,300.00,264.00,0.00,2266.00,2026,1,F
KEF,ART,FI,Icelandair,2.00,320.00,319.00,6362.00,2413.00,2026,1,F
SAL,ART,TA,Taca International Airlines,2.00,354.00,336.00,37.00,2266.00,2026,1,F
SAL,ART,TA,Taca International Airlines,2.00,355.00,276.00,2081.00,2266.00,2026,2,F
ART,YYZ,DL,Delta Air Lines Inc.,2.00,144.00,63.00,0.00,446.00,2026,1,L
ART,FRA,LH,Lufthansa German Airlines,2.00,558.00,384.00,38619.00,3669.00,2026,1,F
FRA,ART,LH,Lufthansa German Airlines,2.00,558.00,501.00,24915.00,3669.00,2026,1,F
HKG,ART,CX,Cathay Pacific Airways Ltd.,2.00,560.00,515.00,22587.00,7968.00,2026,2,F
ART,HKG,CX,Cathay Pacific Airways Ltd.,2.00,560.00,544.00,1421.00,7968.00,2026,2,F
ART,LHR,VS,Virgin Atlantic Airways,2.00,528.00,379.00,3599.00,3265.00,2026,1,F
LHR,ART,VS,Virgin Atlantic Airways,2.00,528.00,454.00,36887.00,3265.00,2026,1,F
LHR,ART,BA,British Airways Plc,2.00,664.00,430.00,27819.00,3265.00,2026,2,F
GRU,ART,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,2.00,600.00,535.00,0.00,4790.00,2026,1,F
ART,GRU,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,2.00,300.00,234.00,22092.00,4790.00,2026,1,L
LHR,ART,VS,Virgin Atlantic Airways,2.00,516.00,509.00,6028.00,3265.00,2026,1,F
IST,ART,TK,Turk Hava Yollari A.O.,2.00,578.00,525.00,34082.00,4812.00,2026,2,F
ART,IST,TK,Turk Hava Yollari A.O.,2.00,578.00,550.00,23245.00,4812.00,2026,2,F
IST,ART,TK,Turk Hava Yollari A.O.,2.00,600.00,532.00,48844.00,4812.00,2026,1,F
AMS,ART,KL,Klm Royal Dutch Airlines,2.00,762.00,390.00,39712.00,3457.00,2026,1,F
ART,MEX,AM,Aeromexico,3.00,543.00,391.00,0.00,2276.00,2026,2,F
MEX,ART,AM,Aeromexico,3.00,543.00,473.00,0.00,2276.00,2026,2,F
ART,TER,S4,Sata Internacional,3.00,549.00,222.00,0.00,2298.00,2026,2,F
TER,ART,S4,Sata Internacional,3.00,549.00,314.00,0.00,2298.00,2026,2,F
ART,LHR,BA,British Airways Plc,3.00,622.00,339.00,10881.00,3265.00,2026,1,F
ART,LHR,BA,British Airways Plc,3.00,762.00,480.00,23239.00,3265.00,2026,2,F
LHR,ART,BA,British Airways Plc,3.00,762.00,610.00,73005.00,3265.00,2026,2,F
ART,LHR,VS,Virgin Atlantic Airways,3.00,774.00,580.00,0.00,3265.00,2026,1,F
ART,IST,TK,Turk Hava Yollari A.O.,3.00,900.00,791.00,26088.00,4812.00,2026,1,F
