ORIGIN,DEST,UNIQUE_CARRIER,DEPARTURES_PERFORMED,SEATS,PASSENGERS,MONTH,YEAR
LUX,FRA,LH,90,16200,12700,1,2023
LUX,FRA,LH,86,15480,11900,2,2023
LUX,FRA,LH,93,16740,13900,3,2023
LUX,FRA,LH,90,16200,13500,4,2023
LUX,FRA,LH,93,16740,14100,5,2023
LUX,FRA,LH,95,17100,15300,6,2023
LUX,FRA,LH,98,17640,16400,7,2023
LUX,FRA,LH,98,17640,16100,8,2023
LUX,FRA,LH,93,16740,14100,9,2023
LUX,FRA,LH,95,17100,13800,10,2023
LUX,FRA,LH,92,16560,13000,11,2023
LUX,FRA,LH,85,15300,11800,12,2023
FRA,LUX,LH,90,16200,12500,1,2023
FRA,LUX,LH,86,15480,11700,2,2023
FRA,LUX,LH,93,16740,13700,3,2023
FRA,LUX,LH,90,16200,13300,4,2023
FRA,LUX,LH,93,16740,13900,5,2023
FRA,LUX,LH,95,17100,15100,6,2023
FRA,LUX,LH,98,17640,16200,7,2023
FRA,LUX,LH,98,17640,15900,8,2023
FRA,LUX,LH,93,16740,13900,9,2023
FRA,LUX,LH,95,17100,13600,10,2023
FRA,LUX,LH,92,16560,12800,11,2023
FRA,LUX,LH,85,15300,11600,12,2023
