station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EGLL,2026-02-25 00:20,50.00,48.20,93.50,190.00,5.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,50.00,COR EGLL 250020Z AUTO 19005KT 9999 FEW010 10/09 Q1015 TEMPO BKN010,M
EGLL,2026-02-25 00:50,50.00,48.20,93.50,160.00,5.00,0.00,29.97,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,50.00,COR EGLL 250050Z AUTO 16005KT 9999 BKN009 10/09 Q1015 NOSIG,M
EGLL,2026-02-25 01:20,50.00,48.20,93.50,160.00,5.00,0.00,29.97,M,6.21,M,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,50.00,COR EGLL 250120Z AUTO 16005KT 9999 OVC009 10/09 Q1015 NOSIG,M
EGLL,2026-02-25 01:50,50.00,48.20,93.50,160.00,5.00,0.00,29.97,M,6.21,M,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,50.00,COR EGLL 250150Z AUTO 16005KT 9999 OVC009 10/09 Q1015 NOSIG,M
EGLL,2026-02-25 02:20,50.00,48.20,93.50,150.00,4.00,0.00,29.97,M,6.21,M,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,50.00,COR EGLL 250220Z AUTO 15004KT 9999 OVC009 10/09 Q1015 NOSIG,M
EGLL,2026-02-25 02:50,48.20,46.40,93.45,150.00,4.00,0.00,29.94,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,46.34,COR EGLL 250250Z AUTO 15004KT 9999 BKN009 09/08 Q1014 NOSIG,M
EGLL,2026-02-25 03:20,48.20,46.40,93.45,160.00,6.00,0.00,29.94,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,45.04,COR EGLL 250320Z AUTO 16006KT 9999 BKN010 09/08 Q1014 TEMPO BKN009,M
EGLL,2026-02-25 03:50,48.20,46.40,93.45,150.00,6.00,0.00,29.94,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,45.04,COR EGLL 250350Z AUTO 15006KT 9999 FEW010 09/08 Q1014 TEMPO BKN010,M
EGLL,2026-02-25 04:20,46.40,46.40,100.00,150.00,6.00,0.00,29.94,M,5.59,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.87,COR EGLL 250420Z AUTO 15006KT 9000 NCD 08/08 Q1014 TEMPO BKN009,M
EGLL,2026-02-25 04:50,48.20,46.40,93.45,140.00,6.00,0.00,29.94,M,5.59,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.04,COR EGLL 250450Z AUTO 14006KT 9000 NCD 09/08 Q1014 TEMPO BKN009,M
EGLL,2026-02-25 05:20,46.40,46.40,100.00,170.00,3.00,0.00,29.94,M,4.97,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.15,COR EGLL 250520Z AUTO 17003KT 8000 NCD 08/08 Q1014 TEMPO 4000 BR,M
EGLL,2026-02-25 05:50,46.40,44.60,93.40,M,2.00,0.00,29.94,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.40,COR EGLL 250550Z VRB02KT 8000 NSC 08/07 Q1014 TEMPO 5000 BR BKN005,M
EGLL,2026-02-25 06:20,46.40,44.60,93.40,140.00,5.00,0.00,29.94,M,6.21,15.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.50,COR EGLL 250620Z 14005G15KT 060V180 CAVOK 08/07 Q1014 TEMPO BKN008,M
EGLL,2026-02-25 06:50,46.40,46.40,100.00,150.00,5.00,0.00,29.97,M,5.59,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.50,COR EGLL 250650Z AUTO 15005KT 060V220 9000 NCD 08/08 Q1015 TEMPO SCT008 BKN010,M
EGLL,2026-02-25 07:20,44.60,44.60,100.00,150.00,4.00,0.00,29.97,M,4.97,M,FEW,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,42.13,COR EGLL 250720Z 15004KT 120V190 8000 R27L/0700D FEW006 07/07 Q1015 TEMPO 3000 BR,M
EGLL,2026-02-25 07:50,46.40,44.60,93.40,130.00,4.00,0.00,29.97,M,3.73,M,SCT,M,M,M,400.00,M,M,M,M,M,M,M,M,M,M,44.24,COR EGLL 250750Z AUTO 13004KT 100V200 6000 SCT004 08/07 Q1015 TEMPO 3000 BR BKN004,M
EGLL,2026-02-25 08:20,48.20,48.20,100.00,150.00,3.00,0.00,29.97,M,4.35,M,SCT,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,47.21,COR EGLL 250820Z AUTO 15003KT 110V200 7000 SCT005 09/09 Q1015 TEMPO 3000 BR BKN005,M
EGLL,2026-02-25 08:50,50.00,48.20,93.50,M,3.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,COR EGLL 250850Z AUTO VRB03KT 9999 NCD 10/09 Q1015 TEMPO 4000 BR,M
EGLL,2026-02-25 09:20,51.80,50.00,93.55,220.00,3.00,0.00,29.97,M,6.21,M,SCT,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,51.80,COR EGLL 250920Z AUTO 22003KT 130V300 9999 SCT007 11/10 Q1015 TEMPO BKN007,M
EGLL,2026-02-25 09:50,51.80,50.00,93.55,220.00,4.00,0.00,29.97,M,6.21,M,BKN,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,51.80,COR EGLL 250950Z AUTO 22004KT 190V260 9999 BKN007 11/10 Q1015 BECMG FEW007,M
EGLL,2026-02-25 10:20,53.60,50.00,87.56,210.00,5.00,0.00,29.97,M,6.21,M,FEW,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,53.60,COR EGLL 251020Z AUTO 21005KT 170V240 9999 FEW009 12/10 Q1015 NOSIG,M
EGLL,2026-02-25 10:50,57.20,50.00,76.83,210.00,7.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,COR EGLL 251050Z AUTO 21007KT 140V250 9999 NCD 14/10 Q1015 NOSIG,M
EGLL,2026-02-25 11:20,57.20,51.80,82.13,200.00,10.00,0.00,30.00,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,COR EGLL 251120Z AUTO 20010KT 170V250 9999 NCD 14/11 Q1016 NOSIG,M
EGLL,2026-02-25 11:50,57.20,51.80,82.13,190.00,10.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,COR EGLL 251150Z AUTO 19010KT 9999 NCD 14/11 Q1015 NOSIG,M
EGLL,2026-02-25 12:20,59.00,51.80,76.99,190.00,11.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,COR EGLL 251220Z AUTO 19011KT 9999 NCD 15/11 Q1015 NOSIG,M
EGLL,2026-02-25 12:50,59.00,50.00,72.02,200.00,9.00,0.00,29.97,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,COR EGLL 251250Z AUTO 20009KT 9999 NCD 15/10 Q1015 NOSIG,M
