station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LFPG,2026-02-25 00:00,50.00,48.20,93.50,130.00,10.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPG 250000Z 13010KT CAVOK 10/09 Q1018 NOSIG,M
LFPG,2026-02-25 00:30,50.00,48.20,93.50,130.00,11.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPG 250030Z 13011KT CAVOK 10/09 Q1018 NOSIG,M
LFPG,2026-02-25 01:00,50.00,48.20,93.50,130.00,10.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPG 250100Z 13010KT CAVOK 10/09 Q1018 NOSIG,M
LFPG,2026-02-25 01:30,50.00,46.40,87.37,130.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPG 250130Z 13007KT CAVOK 10/08 Q1017 NOSIG,M
LFPG,2026-02-25 02:00,48.20,46.40,93.45,130.00,5.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.63,LFPG 250200Z 13005KT CAVOK 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 02:30,48.20,46.40,93.45,140.00,4.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.34,LFPG 250230Z 14004KT CAVOK 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 03:00,50.00,46.40,87.37,130.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPG 250300Z 13006KT CAVOK 10/08 Q1017 NOSIG,M
LFPG,2026-02-25 03:30,48.20,46.40,93.45,120.00,7.00,0.00,30.03,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.53,LFPG 250330Z 12007KT 8000 NSC 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 04:00,48.20,46.40,93.45,110.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.53,LFPG 250400Z 11007KT CAVOK 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 04:30,48.20,46.40,93.45,130.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.53,LFPG 250430Z 13007KT CAVOK 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 05:00,48.20,46.40,93.45,130.00,9.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.66,LFPG 250500Z 13009KT CAVOK 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 05:30,48.20,46.40,93.45,120.00,9.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.66,LFPG 250530Z 12009KT CAVOK 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 06:00,48.20,46.40,93.45,130.00,9.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.66,LFPG 250600Z 13009KT CAVOK 09/08 Q1017 NOSIG,M
LFPG,2026-02-25 06:30,48.20,44.60,87.28,140.00,5.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.63,LFPG 250630Z 14005KT CAVOK 09/07 Q1018 NOSIG,M
LFPG,2026-02-25 07:00,48.20,46.40,93.45,130.00,8.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.07,LFPG 250700Z 13008KT CAVOK 09/08 Q1018 NOSIG,M
LFPG,2026-02-25 07:30,48.20,46.40,93.45,130.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.04,LFPG 250730Z 13006KT CAVOK 09/08 Q1018 NOSIG,M
LFPG,2026-02-25 08:00,50.00,46.40,87.37,130.00,7.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPG 250800Z 13007KT CAVOK 10/08 Q1018 NOSIG,M
LFPG,2026-02-25 08:30,50.00,46.40,87.37,130.00,8.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPG 250830Z 13008KT CAVOK 10/08 Q1018 NOSIG,M
LFPG,2026-02-25 09:00,51.80,48.20,87.47,140.00,7.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFPG 250900Z 14007KT CAVOK 11/09 Q1018 NOSIG,M
LFPG,2026-02-25 09:30,53.60,48.20,81.87,150.00,7.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFPG 250930Z 15007KT CAVOK 12/09 Q1018 NOSIG,M
LFPG,2026-02-25 10:00,55.40,50.00,82.00,160.00,8.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFPG 251000Z 16008KT 120V180 CAVOK 13/10 Q1018 NOSIG,M
LFPG,2026-02-25 10:30,57.20,50.00,76.83,140.00,8.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LFPG 251030Z 14008KT CAVOK 14/10 Q1018 NOSIG,M
LFPG,2026-02-25 11:00,59.00,50.00,72.02,160.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFPG 251100Z 16006KT 100V200 CAVOK 15/10 Q1018 NOSIG,M
LFPG,2026-02-25 11:30,60.80,50.00,67.55,150.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFPG 251130Z 15006KT 100V180 CAVOK 16/10 Q1018 NOSIG,M
LFPG,2026-02-25 12:00,62.60,51.80,67.76,140.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,LFPG 251200Z 14006KT 110V180 CAVOK 17/11 Q1018 NOSIG,M
LFPG,2026-02-25 12:30,64.40,51.80,63.62,160.00,5.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFPG 251230Z 16005KT 100V200 CAVOK 18/11 Q1018 NOSIG,M
LFPG,2026-02-25 13:00,64.40,51.80,63.62,130.00,7.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFPG 251300Z 13007KT 080V190 CAVOK 18/11 Q1018 NOSIG,M
LFPG,2026-02-25 13:30,66.20,51.80,59.76,140.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,LFPG 251330Z 14006KT 090V170 CAVOK 19/11 Q1018 NOSIG,M
LFPG,2026-02-25 14:00,68.00,51.80,56.16,M,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFPG 251400Z VRB06KT CAVOK 20/11 Q1018 NOSIG,M
LFPG,2026-02-25 14:30,69.80,48.20,46.19,190.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,LFPG 251430Z 19006KT 150V210 CAVOK 21/09 Q1017 NOSIG,M
LFPG,2026-02-25 15:00,69.80,50.00,49.40,180.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,LFPG 251500Z 18007KT CAVOK 21/10 Q1017 NOSIG,M
LFPG,2026-02-25 15:30,68.00,48.20,49.12,170.00,8.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFPG 251530Z 17008KT 130V200 CAVOK 20/09 Q1017 NOSIG,M
LFPG,2026-02-25 16:00,68.00,48.20,49.12,160.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFPG 251600Z 16006KT CAVOK 20/09 Q1017 NOSIG,M
LFPG,2026-02-25 16:30,66.20,50.00,55.91,140.00,7.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,LFPG 251630Z 14007KT 100V160 CAVOK 19/10 Q1018 NOSIG,M
LFPG,2026-02-25 17:00,64.40,50.00,59.52,150.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFPG 251700Z 15006KT CAVOK 18/10 Q1018 NOSIG,M
LFPG,2026-02-25 17:30,62.60,50.00,63.39,170.00,7.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,LFPG 251730Z 17007KT CAVOK 17/10 Q1018 NOSIG,M
